ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
hsa04360,Axon guidance,125,-0.469898718179126,-1.48241390691319,0.00768599005724243,0.0398450117711523,0.0173340054327859,1119,"tags=26%, list=12%, signal=23%",5747/137970/998/10154/56920/90249/2932/6586/25791/10505/5921/5295/9901/5532/5595/6714/64218/50855/1946/816/59277/659/2051/7220/2044/9353/27289/10501/5530/285220/5534/5058,0.407017918923954
hsa05208,Chemical carcinogenesis - reactive oxygen species,130,-0.461885452229582,-1.47958813113432,0.013682673806579,0.0585114340412917,0.0254545668445793,1625,"tags=29%, list=17%, signal=25%",5600/513/4513/6391/509/7381/5594/5728/2952/4514/5747/5604/4715/253152/2947/498/55967/2941/4711/1346/7416/4725/4698/5295/10000/374291/4706/5595/9377/6714/7385/1345/4714/516/4719/7419/5601/6416,0.380730400722792
hsa04664,Fc epsilon RI signaling pathway,39,-0.553403641874182,-1.47713796235756,0.0386329866270431,0.118450194847066,0.0515300718892024,1394,"tags=23%, list=14%, signal=20%",8681/5594/5604/5608/5295/10000/5595/5601/6416,0.282013350011725
hsa00240,Pyrimidine metabolism,35,0.501296920161687,1.47684287490674,0.0413542031641979,0.12218287298513,0.053153920402428,1264,"tags=26%, list=13%, signal=22%",30833/51251/7083/4833/1723/1841/790/7298/6240,0.321775918075361
hsa04725,Cholinergic synapse,56,-0.526732445145257,-1.47632641385731,0.0198771921893588,0.0742538788682943,0.0323030934738062,1369,"tags=36%, list=14%, signal=31%",1131/5594/108/3760/5604/56479/3763/5295/10000/814/5595/5332/1141/2775/816/10681/3708/23236/107/5567,0.352487857583619
hsa04915,Estrogen signaling pathway,66,-0.502514156230962,-1.46899437626898,0.0208319915938629,0.0743999699780817,0.032366648332449,1284,"tags=35%, list=13%, signal=30%",3312/5594/808/1386/108/8648/2911/3760/5604/3763/5295/10000/5595/5332/2775/6714/801/3708/805/23236/107/53358/5567,0.352487857583619
hsa04916,Melanogenesis,44,-0.54720981324264,-1.46870860879853,0.0499243570347958,0.14486978603847,0.0630235391235461,1275,"tags=32%, list=13%, signal=28%",5594/808/108/5604/2932/5595/5332/2775/816/801/805/23236/107/5567,0.248911114434702
hsa04726,Serotonergic synapse,43,-0.543605798085049,-1.4655721492634,0.0398100191815363,0.119798668833327,0.0521167063100445,1394,"tags=37%, list=14%, signal=32%",8681/5594/3760/5604/3763/2560/5595/5332/2775/2562/10681/3708/7220/9177/23236/5567,0.321775918075361
hsa04010,MAPK signaling pathway,167,-0.448214853219559,-1.46127315732451,0.00862663894422997,0.0424796614677991,0.0184801722959672,1284,"tags=24%, list=13%, signal=21%",3312/5594/59283/1386/55799/8491/5604/5608/998/1849/8649/5923/781/27006/9344/4293/84451/5921/10000/23542/1850/2066/5532/5595/8822/785/10235/9693/1946/5871/782/22808/51701/5530/5601/5567/784/5534/5058/6416,0.380730400722792
hsa04650,Natural killer cell mediated cytotoxicity,51,-0.526004288458668,-1.45868980128185,0.0397307663114792,0.119798668833327,0.0521167063100445,708,"tags=16%, list=7%, signal=15%",5295/5532/5595/2185/5530/53358/5534/5058,0.321775918075361
hsa04140,Autophagy - animal,106,-0.474886781366838,-1.45416379839579,0.0147103295584768,0.0612930398269869,0.0266646648633235,1343,"tags=21%, list=14%, signal=18%",11345/5594/5728/65082/9706/7405/5604/5515/1612/55054/55102/5295/84557/10000/5595/10133/10325/3708/22808/23710/5601/5567,0.380730400722792
hsa00562,Inositol phosphate metabolism,54,-0.514392386594816,-1.4506513243036,0.0286002960134463,0.0948479204527557,0.0412622382409944,1809,"tags=35%, list=19%, signal=29%",5291/8821/23262/3705/79837/8776/5728/3706/9651/3631/9677/8396/8395/3632/5332/27124/8867/22876/23236,0.352487857583619
hsa05012,Parkinson disease,153,-0.447450714544591,-1.4496823860529,0.0115189872866348,0.0529721328159922,0.0230447726629474,1166,"tags=21%, list=12%, signal=19%",64116/4514/4715/498/55967/7295/4711/1346/7416/4725/7345/4698/374291/4706/9377/7385/816/65018/1345/4714/516/801/4719/3708/7419/805/51807/7277/5601/5567/5413/2774,0.380730400722792
hsa05224,Breast cancer,77,0.433874779837048,1.44773447456906,0.0217737543869589,0.0761777105753004,0.0331400290845306,1148,"tags=26%, list=12%, signal=23%",6667/182/7157/23493/8324/1019/4609/10683/595/581/4893/10912/4854/388585/1643/7855/2064/2246/2353/1021,0.352487857583619
hsa05162,Measles,69,0.436625862197478,1.44664828042756,0.0181949973215383,0.0721143186524384,0.0313723082448188,1148,"tags=25%, list=12%, signal=22%",10399/7157/1019/3654/3310/595/1017/581/894/6774/3592/8772/5970/4940/3551/2353/1021,0.352487857583619
hsa04151,PI3K-Akt signaling pathway,173,0.380623641219529,1.44502820882714,0.00394145124523261,0.0246340702827038,0.010716701768455,1590,"tags=25%, list=16%, signal=21%",1978/7422/2149/7157/3690/59345/1019/4609/10018/3371/595/1017/28227/894/4893/3915/5154/23533/7184/2787/5585/5970/7057/5518/2064/2246/3551/92579/4804/1021/2786/6194/1435/2335/3910/3696/1299/3675/285/2783/7423/56034/1942,0.407017918923954
hsa04926,Relaxin signaling pathway,69,-0.496364818792332,-1.43974663448976,0.030387078440311,0.097780202901991,0.0425378859982956,708,"tags=19%, list=7%, signal=18%",5295/10000/5595/5332/2775/6714/10681/23236/107/5601/53358/5567/6416,0.352487857583619
hsa04640,Hematopoietic cell lineage,34,0.506152870167761,1.43071846625827,0.0412644655407202,0.12218287298513,0.053153920402428,3313,"tags=56%, list=34%, signal=37%",3690/960/928/3113/951/1435/3675/290/920/3569/929/3570/1441/3566/3676/2323/3672/945/1436,0.321775918075361
hsa05022,Pathways of neurodegeneration - multiple diseases,267,-0.420621512560879,-1.42554239560327,0.00377079348121871,0.024029566301884,0.0104537209128374,1693,"tags=27%, list=17%, signal=23%",89953/10381/4744/3800/5600/513/2905/4513/6391/25981/509/4747/84134/3798/4741/7381/1131/5594/808/9706/56171/4514/2911/5604/4715/2892/5608/498/55967/2932/4711/1346/7416/10120/1768/4725/7345/4698/55102/84557/374291/488/4706/5532/5595/5332/6804/10121/10133/9377/7385/2891/816/65018/1345/4714/516/801/4719/3708/84516/7419/805/51807/6310/7277/5530/23236/5601/5534/5413,0.431707695803346
hsa05020,Prion disease,150,-0.444483949063593,-1.42478482657087,0.0142781523600997,0.0602649287926287,0.0262173997863942,1693,"tags=29%, list=17%, signal=24%",89953/10381/3800/5600/513/2905/4513/6391/509/3798/7381/3312/5594/1386/4514/4715/498/55967/2932/4711/1346/7416/4725/4698/5295/374291/4706/5532/5595/9377/7385/1345/4714/516/4719/3708/7419/51807/7277/5530/5601/5567/5534,0.380730400722792
hsa04310,Wnt signaling pathway,93,-0.462061588007169,-1.41235491831342,0.0320150066453693,0.102008599605343,0.0443773898199747,581,"tags=12%, list=6%, signal=11%",5532/5332/1951/816/8945/51701/5530/23236/5601/5567/5534,0.321775918075361
hsa04660,T cell receptor signaling pathway,66,-0.477046369362964,-1.39454466132819,0.045643153526971,0.13363986393032,0.0581381212963299,1101,"tags=18%, list=11%, signal=16%",5604/998/5515/2932/5295/10000/5532/5595/5530/5601/5534/5058,0.248911114434702
hsa05417,Lipid and atherosclerosis,107,-0.450863303219363,-1.39041673901326,0.0379591154151161,0.117492500094407,0.0511134404137021,1284,"tags=21%, list=13%, signal=19%",3312/5594/808/5747/5608/998/2932/5295/10000/5532/5595/5332/6714/142678/816/801/3708/805/5530/23236/5601/5534/6416,0.321775918075361
hsa04014,Ras signaling pathway,122,-0.440363110769026,-1.38888686349676,0.0296848231076263,0.0968806047634173,0.0421465286281203,1440,"tags=23%, list=15%, signal=20%",4303/8681/2321/5594/808/9462/5604/998/5923/27006/5921/5295/10000/253959/5595/8822/10235/1946/10681/801/8036/22808/805/9771/5601/53358/5567/5058,0.352487857583619
hsa05010,Alzheimer disease,215,-0.41272307575357,-1.3784466472304,0.0133511081258749,0.0578548018787911,0.0251689083652319,1693,"tags=25%, list=17%, signal=21%",89953/10381/3800/513/2905/4513/6391/509/3798/7381/1131/3416/5594/808/9706/64116/4514/5604/4715/498/55967/2932/4711/1346/7416/4725/4698/55102/5295/10000/374291/488/4706/5532/5595/5332/9377/7385/1345/4714/516/322/801/4719/3708/7419/805/51807/57142/7277/5530/23236/5601/5534,0.380730400722792
hsa05014,Amyotrophic lateral sclerosis,216,-0.405047091594243,-1.34276418892997,0.0225031386384107,0.0778034048668455,0.0338472642547331,1763,"tags=30%, list=18%, signal=25%",81929/3084/5071/89953/10381/4744/3800/5600/513/2905/4513/6391/25981/509/4747/84134/3798/4741/7381/10762/10718/9706/5217/56171/4514/4715/5608/498/55967/4711/1346/7416/311/10120/1768/4725/4698/55102/84557/374291/2066/4706/5532/310/10121/10133/9377/5903/9782/7385/2891/29978/65018/1345/4714/400916/516/4719/84516/51807/7277/5530/29979/5534,0.352487857583619
hsa05200,Pathways in cancer,271,0.335843418747838,1.32922164010145,0.00413780885376289,0.0253733561787347,0.0110383175785289,1085,"tags=19%, list=11%, signal=17%",7422/2149/6667/4313/182/7157/59345/2771/23493/8324/1019/4609/9618/10018/10683/5914/595/1017/332/6608/581/894/4893/10912/3915/6774/3065/5154/5898/7184/367/1495/4854/2787/388585/1643/3592/6093/7855/3601/8772/5970/9138/1398/2064/2034/2246/3551/3162/4087/2353,0.407017918923954
