ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:1902459,positive regulation of stem cell population maintenance,34,0.56995719030673,1.68271206842414,0.00763517997447049,0.0534038697002427,0.0287064244884046,2131,"tags=53%, list=22%, signal=41%",86/9274/3065/6599/6605/6760/6598/65980/58516/6602/25942/51742/5928/60/8819/25855/3621/8289,0.407017918923954
GO:0032091,negative regulation of protein binding,15,0.704800935865444,1.68227103206597,0.0161046942686501,0.0850551093143552,0.0457200589880556,771,"tags=33%, list=8%, signal=31%",1663/10399/581/10763/6093,0.352487857583619
GO:0050796,regulation of insulin secretion,75,-0.572343284973023,-1.68009315266738,0.000792327719466572,0.0109269197557153,0.00587359677527025,1208,"tags=32%, list=12%, signal=28%",222183/9066/4760/2781/79751/2029/9024/781/226/65985/25924/11069/8655/5532/6804/7260/9572/2775/1946/3767/2044/6833/133308/5567,0.477270815362862
GO:1900271,regulation of long-term synaptic potentiation,24,-0.705735209460692,-1.67972237168229,0.00265784247876655,0.0250374720160016,0.0134585059817234,982,"tags=29%, list=10%, signal=26%",51201/2932/729956/27065/10858/107/9495,0.431707695803346
GO:0002028,regulation of sodium ion transport,31,-0.661435091070809,-1.67860890362944,0.00476508912536666,0.0378138889712771,0.0203262713818274,1051,"tags=32%, list=11%, signal=29%",65268/54997/6330/6327/11261/6324/5581/2257/7533/57731,0.407017918923954
GO:0003015,heart process,98,-0.5449860539793,-1.67834426198792,0.000869250431028112,0.0115353359086121,0.00620064147163194,1443,"tags=32%, list=15%, signal=27%",6323/55328/6326/477/6508/808/3760/998/781/6330/388591/6327/10059/488/30819/6505/153/6714/2281/56704/491/801/7220/5144/7341/6324/805/2257/490/57731/6334,0.477270815362862
GO:0072028,nephron morphogenesis,20,0.662632506223784,1.67816211467406,0.0111423198595725,0.0679488292014394,0.036524842590906,1000,"tags=40%, list=10%, signal=36%",7422/9955/4609/6662/6608/255743/388585/2246,0.380730400722792
GO:0072088,nephron epithelium morphogenesis,20,0.662632506223784,1.67816211467406,0.0111423198595725,0.0679488292014394,0.036524842590906,1000,"tags=40%, list=10%, signal=36%",7422/9955/4609/6662/6608/255743/388585/2246,0.380730400722792
GO:0036444,calcium import into the mitochondrion,11,-0.805336519433638,-1.67716087480367,0.00483473334023564,0.0381356536369989,0.0204992310031324,834,"tags=45%, list=9%, signal=42%",7416/286097/10367/79085/3708,0.407017918923954
GO:1903311,regulation of mRNA metabolic process,224,0.431326394065798,1.67679475044266,8.35666306438641e-06,0.000419822834901317,0.000225669274085354,1673,"tags=29%, list=17%, signal=24%",7431/678/9567/9261/56829/23351/5725/2521/677/11044/328/6428/3006/55544/10758/1660/3007/9444/9775/27316/4857/23589/6434/27161/9343/29115/6093/6628/3182/85463/22938/10644/8531/25980/891/9238/9939/10179/22916/25804/6427/51690/54502/192669/6433/29890/57018/64783/23034/5436/3183/9704/6651/90806/85456/25819/51585/143684/23019/728642/22985/10772/10643/4928,0.593325476396405
GO:0090280,positive regulation of calcium ion import,12,-0.790114345084781,-1.67606034866824,0.00600286864503395,0.0449948591155298,0.0241862908590028,581,"tags=33%, list=6%, signal=31%",5532/5530/5534/9495,0.407017918923954
GO:0048812,neuron projection morphogenesis,335,-0.483486489282034,-1.67579025192126,1.93974656213749e-06,0.000136428841537003,7.33352144630204e-05,1794,"tags=37%, list=19%, signal=31%",10371/334/8499/547/9211/5063/288/7804/5071/53942/10381/4744/22903/3800/23242/2043/9369/3897/1952/23072/26037/8482/80128/152330/4884/22999/3798/22924/55605/5306/23390/7070/5728/80823/577/9706/6812/26230/284656/2823/5747/5604/137970/144402/998/9890/1496/84062/4135/4858/10154/6049/9024/333/26999/56920/4983/90249/2932/50944/9344/23025/6586/25791/9912/10505/4133/10439/4659/23542/10079/8543/5532/26128/57463/26047/9331/23032/90990/1951/5800/1141/8522/5864/64218/1272/9693/53335/23136/1946/22865/9378/816/59277/133418/322/8997/84446/659/2051/51466/26050/51062/2044/9746/10479/5797/4649/4130/9353/8941/6324/9699/10501/57142/9743/8506/7533/285220/57731/27020/27067/5058/23077,0.627256739718528
GO:0000075,cell cycle checkpoint signaling,125,0.468616126498324,1.67576913540922,6.81835319780355e-05,0.00206441978930439,0.00110969694006585,1852,"tags=38%, list=19%, signal=31%",7157/5982/3014/9212/9319/641/595/1017/332/83903/55159/4582/11130/10926/163859/81620/63967/1407/10403/7517/5347/7756/84444/9675/891/79968/80279/147841/1263/7175/8899/51499/5984/51343/84126/5983/5591/55755/2177/151636/9735/146956/4085/672/580/983/84861,0.538434096309916
GO:0050877,nervous system process,353,-0.48190299553501,-1.67537546163598,1.84941040712242e-06,0.000136144010138618,7.31821077485527e-05,1747,"tags=29%, list=18%, signal=25%",151556/288/55182/5071/342667/285331/338811/28964/23262/130507/143187/57030/9369/2905/408/2334/22999/6323/2821/57191/6326/5590/477/5306/84687/5594/10636/5728/80823/55188/50840/59283/123041/57578/10347/57282/23175/2911/84866/4715/1496/84062/3899/2917/6096/5923/2932/6330/50944/79955/10497/11343/6785/2925/844/729956/814/23542/22930/8508/57210/5532/5595/6804/6505/2185/26047/793/1141/152789/728215/2562/8867/112476/9378/6529/2743/491/10769/55450/170961/84446/3767/7991/441027/4649/4130/112755/6324/9699/6310/6833/65009/9177/3737/8506/2257/4942/23236/8001/57731/23077/2774/23639,0.643551836150722
GO:0098815,modulation of excitatory postsynaptic potential,29,-0.65271171984044,-1.67454769658583,0.00670425053721961,0.0486342569402282,0.0261425928915032,2127,"tags=59%, list=22%, signal=46%",8898/10458/23613/5071/2905/22999/5590/5728/84866/50944/6785/23542/6804/2185/9378/112755/9699,0.407017918923954
GO:0048857,neural nucleus development,32,-0.647223996251642,-1.6736113928187,0.00490026672364304,0.0384370363824788,0.0206612346383332,1259,"tags=34%, list=13%, signal=30%",808/1386/998/57447/8655/7707/1141/801/805/10409/7533,0.407017918923954
GO:0031638,zymogen activation,21,0.641166280828358,1.67327133463987,0.0150880956511866,0.081421692644511,0.0437669720328734,1178,"tags=33%, list=12%, signal=29%",4323/5648/6281/302/7057/5328/5329,0.380730400722792
GO:0061333,renal tubule morphogenesis,20,0.660449104025633,1.672632499366,0.0114816769836844,0.0687272012356711,0.0369432444436177,1000,"tags=40%, list=10%, signal=36%",7422/9955/4609/6662/6608/255743/388585/2246,0.380730400722792
GO:0009129,pyrimidine nucleoside monophosphate metabolic process,16,0.676471450603086,1.6722808686942,0.0128506268337466,0.0741354112813271,0.0398503441381619,1215,"tags=44%, list=13%, signal=38%",30833/51251/7083/1723/790/6470/7298,0.380730400722792
GO:0007409,axonogenesis,227,-0.496923421342464,-1.67211417351235,2.29873441693784e-05,0.000922878194232613,0.000496078904832869,1794,"tags=40%, list=19%, signal=33%",10371/334/9211/5063/288/53942/10381/4744/3800/23242/2043/9369/3897/1952/26037/8482/80128/152330/4884/3798/55605/5306/23390/7070/5728/9706/6812/26230/284656/5747/137970/9890/1496/4135/4858/10154/6049/9024/333/26999/56920/4983/90249/2932/9344/6586/10505/4133/10439/8543/5532/26128/57463/9331/23032/90990/1951/5800/1141/5864/64218/1272/53335/1946/22865/9378/59277/133418/322/8997/84446/659/2051/51466/26050/51062/2044/10479/5797/4130/9353/8941/6324/10501/57142/8506/285220/57731/27020/5058/23077,0.575610261071129
GO:0009615,response to virus,196,0.429703397988369,1.67123189528879,2.97331680399737e-05,0.00111449831562905,0.000599081338480497,1914,"tags=31%, list=20%, signal=25%",6210/4828/51251/56829/84166/7706/1937/8091/581/2635/81844/10758/1660/117854/58487/811/2150/64332/10410/29115/3592/81622/8772/5970/4940/54476/85363/81576/22900/9020/3551/834/665/1021/11100/23076/10581/25942/1687/201292/388419/3315/10010/3609/340061/5094/3965/55210/7728/10964/151636/7040/6773/3428/3665/5371/6502/4690/29800/60489/79132,0.575610261071129
GO:0071402,cellular response to lipoprotein particle stimulus,16,0.676036547464527,1.67120576020632,0.0130630290927223,0.0748994331131631,0.0402610322614421,1697,"tags=44%, list=18%, signal=36%",54209/348/928/19/975/949/7040,0.380730400722792
GO:0051304,chromosome separation,56,0.526533527915237,1.67118963456377,0.00416183852995459,0.0342357867376381,0.0184029178466194,1889,"tags=48%, list=19%, signal=39%",9212/9319/54892/332/83903/23397/11130/338657/10403/7517/5347/7756/9700/891/4926/10051/147841/7175/7156/8899/26271/55755/9735/9787/4085/84861/8881,0.407017918923954
GO:0003351,epithelial cilium movement involved in extracellular fluid movement,12,-0.787790635458728,-1.6711310905295,0.00674855755423742,0.0486887754780541,0.0261718984886088,848,"tags=25%, list=9%, signal=23%",152110/123872/23639,0.407017918923954
GO:0048514,blood vessel morphogenesis,292,0.412018802790294,1.67082357238612,3.40047525774686e-06,0.000214179187875996,0.000115128711051479,1788,"tags=33%, list=18%, signal=28%",4323/7422/133/9037/6667/4313/51330/6909/8038/182/3690/9289/2771/4015/23493/7837/4327/57674/23554/8828/301/4814/22846/8877/8091/4192/4017/6774/5154/302/284361/1605/3037/2896/9444/4854/358/91010/22905/5315/2969/718/8862/2047/27161/7453/6091/3592/6093/5970/2050/7057/2064/56999/3339/2034/682/2246/3162/83700/10451/57556/8751/5469/4804/144455/10516/7494/6678/4691/71/2335/85377/8829/3315/10267/11082/3696/3576/10253/7045/285/4627/7423/1942/7052/51421/4059/290/1500/7040/6303/441478/11252/694/5371/672,0.627256739718528
