Gene_ID,log2FC,P.Value,FDR,Gene_Symbol,Gene_Description,Significance
ENSG00000172031,-2.78187549319072,0.0337048870524213,0.177331478476324,EPHX4,epoxide hydrolase 4,NS
ENSG00000172046,-0.124507877515857,0.728173776183243,0.886262058273858,USP19,ubiquitin specific peptidase 19,NS
ENSG00000172053,0.271023519471736,0.331329839285658,0.636032716505903,QARS1,glutaminyl-tRNA synthetase 1,NS
ENSG00000172057,0.352637374659144,0.348284261839219,0.651164503267457,ORMDL3,ORMDL sphingolipid biosynthesis regulator 3,NS
ENSG00000172081,0.753362728115521,0.0893035804912458,0.317372591719021,MOB3A,MOB kinase activator 3A,NS
ENSG00000172113,0.354476302888787,0.259168934775484,0.570870589692497,NME6,NME/NM23 nucleoside diphosphate kinase 6,NS
ENSG00000172115,-0.373226138065099,0.166644849363011,0.455736114004779,CYCS,"cytochrome c, somatic",NS
ENSG00000172159,0.340609092786319,0.284388104755339,0.593627931772892,FRMD3,FERM domain containing 3,NS
ENSG00000172164,0.546894001741563,0.235796703862505,0.544434098685405,SNTB1,syntrophin beta 1,NS
ENSG00000172167,0.489433751409974,0.166281739072345,0.455378047757473,MTBP,MDM2 binding protein,NS
ENSG00000172172,0.411624405063445,0.26758093766397,0.578695622426726,MRPL13,mitochondrial ribosomal protein L13,NS
ENSG00000172175,0.0509906946168198,0.967085265264879,0.987064352171994,MALT1,MALT1 paracaspase,NS
ENSG00000172201,1.48649025548831,0.0233936332953492,0.140361799772095,ID4,inhibitor of DNA binding 4,NS
ENSG00000172216,0.155212033804615,0.726501307981722,0.885333322974237,CEBPB,CCAAT enhancer binding protein beta,NS
ENSG00000172239,-0.336339289531204,0.260347282413207,0.57178605075404,PAIP1,poly(A) binding protein interacting protein 1,NS
ENSG00000172244,0.341330359874979,0.464552575400419,0.745394039250546,C5orf34,chromosome 5 open reading frame 34,NS
ENSG00000172260,-3.65398776103098,0.0883147153735632,0.314947689191355,NEGR1,neuronal growth regulator 1,NS
ENSG00000172262,0.130319954480541,0.690922013151719,0.869212943812188,ZNF131,zinc finger protein 131,NS
ENSG00000172269,0.304078492661681,0.523853006342126,0.780881550740452,DPAGT1,dolichyl-phosphate N-acetylglucosaminephosphotransferase 1,NS
ENSG00000172270,0.270506171853225,0.050350791691936,0.223565461751832,BSG,basigin (Ok blood group),NS
ENSG00000172273,0.0574301464655635,0.6822319205967,0.865793574197557,HINFP,histone H4 transcription factor,NS
ENSG00000172301,-0.26637478939692,0.69323522798061,0.869884647127583,COPRS,coordinator of PRMT5 and differentiation stimulator,NS
ENSG00000172315,0.0405251046974413,0.874814977368189,0.953214210950513,TP53RK,TP53 regulating kinase,NS
ENSG00000172336,-0.048810515559353,0.915388899799331,0.969501500497411,POP7,"POP7 homolog, ribonuclease P/MRP subunit",NS
ENSG00000172339,1.13154146971653,0.355890315350378,0.657387764703379,ALG14,ALG14 UDP-N-acetylglucosaminyltransferase subunit,NS
ENSG00000172340,0.23344721857478,0.43121971548211,0.719010648679102,SUCLG2,succinate-CoA ligase GDP-forming subunit beta,NS
ENSG00000172348,-2.43189058616441,0.098587363604324,0.337214731031609,RCAN2,regulator of calcineurin 2,NS
ENSG00000172354,0.440486712790088,0.145427397367337,0.422636637169696,GNB2,G protein subunit beta 2,NS
ENSG00000172361,-0.530307078782618,0.386831514447752,0.681280201907808,CFAP53,cilia and flagella associated protein 53,NS
ENSG00000172375,-1.52632846887294,0.16657463390853,0.455717961163045,C2CD2L,C2CD2 like,NS
ENSG00000172379,-0.672766154614893,0.00756632651814671,0.0631825582527742,ARNT2,aryl hydrocarbon receptor nuclear translocator 2,NS
ENSG00000172382,-0.21463067179275,0.758937148289022,0.901009897769454,PRSS27,serine protease 27,NS
ENSG00000172403,-1.34196988951954,0.0313100980364684,0.170810411980407,SYNPO2,synaptopodin 2,NS
ENSG00000172428,-0.238309867252484,0.3141994275721,0.620697469826896,COPS9,COP9 signalosome subunit 9,NS
ENSG00000172432,0.745229200920423,0.00198294630528182,0.0246420615704224,GTPBP2,GTP binding protein 2,NS
ENSG00000172456,-0.247384902164298,0.395950102989472,0.687832989067861,FGGY,FGGY carbohydrate kinase domain containing,NS
ENSG00000172461,-2.22693480233466,0.225700461981559,0.531850693101263,FUT9,fucosyltransferase 9,NS
