Gene_ID,log2FC,P.Value,FDR,Gene_Symbol,Gene_Description,Significance
ENSG00000089685,1.83705095689305,0.00279654319024319,0.0310223323447788,BIRC5,baculoviral IAP repeat containing 5,Up
ENSG00000089818,-1.18986466752753,0.00202728193193441,0.0250089054891982,NECAP1,NECAP endocytosis associated 1,Down
ENSG00000089847,-2.01750877202431,0.000144070768000692,0.00361000795648989,ANKRD24,ankyrin repeat domain 24,Down
ENSG00000090924,1.15760017262252,0.00464790995113124,0.0447897545052875,PLEKHG2,pleckstrin homology and RhoGEF domain containing G2,Up
ENSG00000090932,3.43278313317087,0.000618327396059875,0.0105250754072175,DLL3,delta like canonical Notch ligand 3,Up
ENSG00000091622,-1.3762725257399,2.15839866564299e-10,8.74410467425288e-08,PITPNM3,PITPNM family member 3,Down
ENSG00000091972,-1.29949965363601,1.55195518115301e-10,7.25068682809288e-08,CD200,CD200 molecule,Down
ENSG00000091986,2.46619768563881,0.000424111316476748,0.00796920113780427,CCDC80,coiled-coil domain containing 80,Up
ENSG00000095970,1.62973427674253,0.00313488942354021,0.0335974997727056,TREM2,triggering receptor expressed on myeloid cells 2,Up
ENSG00000099139,2.08963700094347,1.99072427714734e-05,0.000819595751176759,PCSK5,proprotein convertase subtilisin/kexin type 5,Up
ENSG00000099203,1.07389091636333,0.000228408821730297,0.00514072121440989,TMED1,transmembrane p24 trafficking protein 1,Up
ENSG00000099331,1.09613897187248,8.17137427837195e-05,0.00233784403082913,MYO9B,myosin IXB,Up
ENSG00000099364,-1.15379198046085,0.000125485246546011,0.00326713258873522,FBXL19,F-box and leucine rich repeat protein 19,Down
ENSG00000099365,-1.70945210130303,2.70269407567482e-05,0.00104476662589445,STX1B,syntaxin 1B,Down
ENSG00000100097,1.23994422870619,0.000895799330762684,0.0138302677164092,LGALS1,galectin 1,Up
ENSG00000100441,1.11972186730098,0.000227207253828497,0.00512506696386418,KHNYN,KH and NYN domain containing,Up
ENSG00000100504,1.69884834266243,0.000411137130678284,0.00779774692792071,PYGL,glycogen phosphorylase L,Up
ENSG00000100744,-1.39731008355391,1.27618997079672e-05,0.000590194156357497,GSKIP,GSK3B interacting protein,Down
ENSG00000101079,-1.06999511885038,0.00148086594495459,0.0196568942208389,NDRG3,NDRG family member 3,Down
ENSG00000101104,1.66936808779521,2.90168006664041e-05,0.00110898927226166,PABPC1L,poly(A) binding protein cytoplasmic 1 like,Up
ENSG00000101198,2.13160193511493,0.000438849262355231,0.00817034067855474,NKAIN4,sodium/potassium transporting ATPase interacting 4,Up
ENSG00000101333,-1.86163476692281,0.00335250045694065,0.0351200507775302,PLCB4,phospholipase C beta 4,Down
ENSG00000101346,1.26627166569014,4.64788255443248e-05,0.00155358925779842,POFUT1,protein O-fucosyltransferase 1,Up
ENSG00000101384,1.54200622686075,2.33276212999971e-05,0.000937548208437979,JAG1,jagged canonical Notch ligand 1,Up
ENSG00000101670,1.38025285416255,0.000497273126858305,0.00900578634683822,LIPG,"lipase G, endothelial type",Up
ENSG00000101745,-1.01722041859327,2.77063531888975e-05,0.00106291645870134,ANKRD12,ankyrin repeat domain 12,Down
ENSG00000102003,-1.94267940639163,0.00058770718347256,0.0102273167598111,SYP,synaptophysin,Down
ENSG00000102317,1.02945497788199,5.93189122075378e-07,5.00651619031619e-05,RBM3,RNA binding motif protein 3,Up
ENSG00000102466,-1.16798550369275,0.00193584164196752,0.024175344204497,FGF14,fibroblast growth factor 14,Down
ENSG00000102547,-1.45903573538165,0.00117280917150725,0.0168246618824723,CAB39L,calcium binding protein 39 like,Down
ENSG00000102981,-1.32786313217333,0.00116528311890768,0.0168246618824723,PARD6A,par-6 family cell polarity regulator alpha,Down
ENSG00000103021,-1.02914955810914,0.000263038988924212,0.00569243350389833,CCDC113,coiled-coil domain containing 113 [Source:HGNC Symbol;Acc:HGNC:25002],Down
ENSG00000103034,-1.17048408519772,3.45332549366076e-06,0.000205736944704683,NDRG4,NDRG family member 4,Down
ENSG00000103154,-2.27697004200072,0.000183572035631588,0.00433384050554015,NECAB2,N-terminal EF-hand calcium binding protein 2,Down
ENSG00000103187,1.02483082612697,1.80652767028561e-05,0.000765544445382957,COTL1,coactosin like F-actin binding protein 1,Up
ENSG00000103202,1.01359317750594,0.00165683198167401,0.0215963890738666,NME4,NME/NM23 nucleoside diphosphate kinase 4,Up
ENSG00000103260,1.1207895793076,0.00465848679792286,0.0448490059784817,METRN,"meteorin, glial cell differentiation regulator",Up
ENSG00000103335,1.15062888098026,0.000936291039733268,0.0143460751140976,PIEZO1,piezo type mechanosensitive ion channel component 1 (Er blood group),Up
ENSG00000103657,-1.04959175813545,2.01134453068901e-09,5.82025640194808e-07,HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,Down
ENSG00000104112,-1.05666979880274,1.49481635562793e-06,0.000106616197533801,SCG3,secretogranin III,Down
ENSG00000104327,-4.73475469425426,0.00217428821884507,0.0260605811603111,CALB1,calbindin 1,Down
ENSG00000104369,-1.71986616904263,0.000427632160006056,0.00801273632656584,JPH1,junctophilin 1,Down
ENSG00000104381,-1.40444119615717,0.00128933113988534,0.0180363892054678,GDAP1,ganglioside induced differentiation associated protein 1,Down
ENSG00000104419,1.5287110329332,3.20299842087784e-05,0.00119704678991331,NDRG1,N-myc downstream regulated 1,Up
ENSG00000104490,-1.97944275738034,0.00116974488790535,0.0168246618824723,NCALD,neurocalcin delta,Down
ENSG00000104723,-1.53380087555171,5.64481049738742e-05,0.00178101684478317,TUSC3,tumor suppressor candidate 3,Down
ENSG00000105255,-1.07358323884409,0.000267935637329312,0.00577372794653462,FSD1,fibronectin type III and SPRY domain containing 1,Down
ENSG00000105376,-1.39416915384624,3.5407821291443e-05,0.0012538825665725,ICAM5,intercellular adhesion molecule 5,Down
ENSG00000105613,-1.79549076003846,0.00269177773667521,0.0301908360100183,MAST1,microtubule associated serine/threonine kinase 1,Down
ENSG00000105649,-2.39497381035417,0.00138130939099425,0.0189308545493772,RAB3A,"RAB3A, member RAS oncogene family",Down
ENSG00000105662,-1.34443773100686,0.00357793963912873,0.0371284555994834,CRTC1,CREB regulated transcription coactivator 1,Down
ENSG00000105711,-1.97615852567129,1.85738451940865e-05,0.000777338446800447,SCN1B,sodium voltage-gated channel beta subunit 1,Down
ENSG00000105877,2.7076789262716,3.19156734674459e-05,0.00119704678991331,DNAH11,dynein axonemal heavy chain 11,Up
ENSG00000105926,-1.11734486200992,5.94786460497697e-05,0.00185353762212944,PALS2,"protein associated with LIN7 2, MAGUK p55 family member",Down
ENSG00000105939,1.35674573126,0.000177193370972032,0.00424945149330635,ZC3HAV1,"zinc finger CCCH-type containing, antiviral 1",Up
ENSG00000106003,2.74396013526964,2.01392538182846e-07,2.08133023134272e-05,LFNG,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,Up
ENSG00000106025,2.47309520524237,0.000675817011764661,0.0112834981653518,TSPAN12,tetraspanin 12,Up
ENSG00000106089,-1.44238429093824,0.00324768885241912,0.0344064777168419,STX1A,syntaxin 1A,Down
ENSG00000106546,1.15847247192142,0.00014702833903904,0.00365872977343341,AHR,aryl hydrocarbon receptor,Up
ENSG00000106638,1.05227128104666,0.00215039331939968,0.0259275994510476,TBL2,transducin beta like 2,Up
ENSG00000106686,-1.0295815769201,0.00178668939194515,0.0227046300647685,SPATA6L,spermatogenesis associated 6 like,Down
ENSG00000106688,-1.03880262822316,0.00282123821834591,0.0311937780299207,SLC1A1,solute carrier family 1 member 1,Down
ENSG00000107242,-3.92238656737795,0.00484567651316993,0.0462142100529678,PIP5K1B,phosphatidylinositol-4-phosphate 5-kinase type 1 beta,Down
ENSG00000107560,-1.29140649031692,8.30977662879466e-12,7.01345147470269e-09,RAB11FIP2,RAB11 family interacting protein 2,Down
ENSG00000107745,-1.04026891529828,0.00140589045851322,0.0191099279234743,MICU1,mitochondrial calcium uptake 1,Down
ENSG00000107758,-2.0529645955995,0.00365361117409104,0.0376437171629645,PPP3CB,protein phosphatase 3 catalytic subunit beta,Down
ENSG00000107954,-1.71405818625178,3.56178666362786e-07,3.24988966929937e-05,NEURL1,neuralized E3 ubiquitin protein ligase 1,Down
ENSG00000108061,-1.30243827530904,0.000138478466573517,0.00352389424486578,SHOC2,SHOC2 leucine rich repeat scaffold protein,Down
ENSG00000108309,-2.00388799037076,1.00998779577028e-06,7.80851633248962e-05,RUNDC3A,RUN domain containing 3A,Down
ENSG00000108352,-1.54289702995893,9.4607871495662e-08,1.18610740452361e-05,RAPGEFL1,Rap guanine nucleotide exchange factor like 1,Down
ENSG00000108395,-1.18215360095394,0.000892600306716181,0.0138103353417985,TRIM37,tripartite motif containing 37,Down
ENSG00000108406,1.10969431191359,5.35965035540842e-06,0.000296625895079653,DHX40,DEAH-box helicase 40,Up
ENSG00000108797,-1.37221958609099,3.04574978883671e-07,2.83003246434295e-05,CNTNAP1,contactin associated protein 1,Down
ENSG00000108924,-2.2658936900794,0.0018291528352776,0.0230705602935137,HLF,"HLF transcription factor, PAR bZIP family member",Down
ENSG00000108960,-1.30330831607284,0.00294587626282599,0.0321640348084011,MMD,monocyte to macrophage differentiation associated,Down
ENSG00000109099,1.42389662251136,0.00259821842664638,0.0295671418259264,PMP22,peripheral myelin protein 22,Up
ENSG00000109738,-1.39470542396264,0.000571859742612114,0.0100377737836664,GLRB,glycine receptor beta,Down
ENSG00000110013,-1.38209056458157,0.00417236369263218,0.0415513269213163,SIAE,sialic acid acetylesterase,Down
ENSG00000110427,-1.58188408073208,4.16814199730752e-06,0.000238502498015427,KIAA1549L,KIAA1549 like,Down
ENSG00000110446,1.39632435877038,0.00103966474444053,0.0155076944502116,SLC15A3,solute carrier family 15 member 3,Up
ENSG00000110693,1.24120213178756,7.13058932545774e-06,0.000368963841417036,SOX6,SRY-box transcription factor 6,Up
ENSG00000110719,1.44817882040616,0.00138986733916853,0.0189967292997286,TCIRG1,"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3",Up
ENSG00000111110,-1.84987076810416,9.80755313362437e-05,0.00270656398194408,PPM1H,"protein phosphatase, Mg2+/Mn2+ dependent 1H",Down
ENSG00000111145,1.61885226721636,0.000975114315952653,0.0148065334212421,ELK3,ETS transcription factor ELK3,Up
ENSG00000111218,-1.74244720003198,0.000531009711454687,0.00945178621724617,PRMT8,protein arginine methyltransferase 8,Down
ENSG00000111328,1.12027936010659,1.44994668866791e-05,0.000641634594456036,CDK2AP1,cyclin dependent kinase 2 associated protein 1,Up
ENSG00000111665,1.85880411503598,0.000873966376549898,0.0135968225218086,CDCA3,cell division cycle associated 3,Up
ENSG00000111783,1.13059564318924,0.00330857595006223,0.0348329077154161,RFX4,regulatory factor X4,Up
ENSG00000111880,-1.13768302627289,0.00254156396727629,0.0291187328739528,RNGTT,RNA guanylyltransferase and 5'-phosphatase,Down
ENSG00000112183,-1.20962466326881,0.000644795006029215,0.0109023102188045,RBM24,RNA binding motif protein 24,Down
ENSG00000112578,1.53592933208808,0.00448296637114817,0.0436992140586994,BYSL,bystin like,Up
ENSG00000112715,3.984231941874,8.93746632050646e-09,1.91978081158054e-06,VEGFA,vascular endothelial growth factor A,Up
ENSG00000112902,1.56753768284461,3.24243477434959e-07,2.98539812678297e-05,SEMA5A,semaphorin 5A,Up
ENSG00000113083,3.15940710979236,0.000143656861266636,0.00361000795648989,LOX,lysyl oxidase,Up
ENSG00000113212,1.20482913433685,0.00177548697326768,0.022619034044346,PCDHB7,protocadherin beta 7,Up
ENSG00000113369,1.36132283081814,7.31892692076943e-05,0.00216111054966626,ARRDC3,arrestin domain containing 3,Up
ENSG00000113448,-1.06715737979179,3.86223688263051e-05,0.00133961421737266,PDE4D,phosphodiesterase 4D,Down
ENSG00000113657,1.08986757470418,0.00288144858106684,0.0317209904663532,DPYSL3,dihydropyrimidinase like 3,Up
ENSG00000113739,3.04161212648637,7.42834281537524e-05,0.00218070307345277,STC2,stanniocalcin 2,Up
ENSG00000114268,1.48376721960935,0.000110954898881521,0.00296710119776359,PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4",Up
ENSG00000114279,-1.57361601327824,2.26367289513219e-07,2.26994842395038e-05,FGF12,fibroblast growth factor 12,Down
ENSG00000114861,-1.72949203406053,3.70166206877458e-09,9.14400815428023e-07,FOXP1,forkhead box P1,Down
ENSG00000115310,-1.10260188486314,4.75545169256812e-06,0.000267573415235166,RTN4,reticulon 4,Down
ENSG00000115461,2.29967226238731,0.00148068839546921,0.0196568942208389,IGFBP5,insulin like growth factor binding protein 5,Up
ENSG00000116157,1.2918823190685,0.0010946307796568,0.0160672761396581,GPX7,glutathione peroxidase 7,Up
ENSG00000116212,1.14561149736469,0.00256543419964073,0.0292598170877943,LRRC42,leucine rich repeat containing 42,Up
ENSG00000116329,-1.11529711626244,0.000443398090679277,0.00822479095677604,OPRD1,opioid receptor delta 1,Down
ENSG00000116396,-1.60417230268083,2.84537258767904e-06,0.000177888478814897,KCNC4,potassium voltage-gated channel subfamily C member 4,Down
ENSG00000117009,-1.90142431557394,0.00514078698168138,0.0484121315596793,KMO,kynurenine 3-monooxygenase,Down
ENSG00000118257,1.45122643981681,0.000794411616250413,0.0127695945066739,NRP2,neuropilin 2,Up
ENSG00000118276,-1.3700967930933,0.00245437692705278,0.0284741460678013,B4GALT6,"beta-1,4-galactosyltransferase 6",Down
ENSG00000118894,1.13553952710441,0.003395079856298,0.0354854167023593,EEF2KMT,eukaryotic elongation factor 2 lysine methyltransferase,Up
ENSG00000119403,1.75713793569722,1.21788426352683e-07,1.40167407056815e-05,PHF19,PHD finger protein 19,Up
ENSG00000119408,1.59122678967914,0.000150560274846304,0.00371920600888626,NEK6,NIMA related kinase 6,Up
ENSG00000119782,-1.22064745192653,0.000859486616023178,0.0134648870811597,FKBP1B,FKBP prolyl isomerase 1B,Down
ENSG00000119801,-1.40129860469538,7.77558158203485e-07,6.30008722102792e-05,YPEL5,yippee like 5,Down
ENSG00000119865,-1.12028933707389,2.6487926148113e-05,0.00103180660010803,CNRIP1,cannabinoid receptor interacting protein 1,Down
ENSG00000119866,-1.75694741224285,0.000978248230108686,0.0148097131159055,BCL11A,BCL11 transcription factor A,Down
ENSG00000119986,-1.98116548877232,0.000433989902481845,0.00810968585301868,AVPI1,arginine vasopressin induced 1,Down
ENSG00000120049,-1.7031217972551,0.00372950624743276,0.038038710245719,KCNIP2,potassium voltage-gated channel interacting protein 2,Down
ENSG00000120251,-1.232775177166,0.00095204765716435,0.0145215943851815,GRIA2,glutamate ionotropic receptor AMPA type subunit 2,Down
ENSG00000120875,2.71549035125725,2.60197282607862e-05,0.00101748188349515,DUSP4,dual specificity phosphatase 4,Up
ENSG00000120899,-1.17738334494168,0.00266306335970507,0.0299350784762408,PTK2B,protein tyrosine kinase 2 beta,Down
ENSG00000121005,1.80509044405587,1.14494822761335e-08,2.23000685562846e-06,CRISPLD1,cysteine rich secretory protein LCCL domain containing 1,Up
ENSG00000121060,1.03143133020448,0.000893144712566947,0.0138103353417985,TRIM25,tripartite motif containing 25,Up
ENSG00000121068,1.90977858291992,7.14029550925544e-06,0.000368963841417036,TBX2,T-box transcription factor 2,Up
ENSG00000121769,-1.9061323009912,0.00263917409841308,0.0297988353051591,FABP3,fatty acid binding protein 3,Down
ENSG00000121871,-1.20736021859847,0.000704404749614887,0.011619236651628,SLITRK3,SLIT and NTRK like family member 3,Down
ENSG00000121964,-1.05296539440721,0.00415863305801958,0.0414553500114393,GTDC1,glycosyltransferase like domain containing 1,Down
ENSG00000122642,1.26815295703614,0.000699760547050092,0.011580351013927,FKBP9,FKBP prolyl isomerase 9,Up
ENSG00000122643,1.16579446149402,7.52960983532704e-05,0.00220404301769342,NT5C3A,"5'-nucleotidase, cytosolic IIIA",Up
ENSG00000122786,1.4691184134328,3.45177715585826e-05,0.00123970209342314,CALD1,caldesmon 1,Up
ENSG00000122873,-1.48993358449127,4.39669039000274e-08,6.57733182754992e-06,CISD1,CDGSH iron sulfur domain 1,Down
ENSG00000122912,-2.17507193793707,9.27379750806519e-06,0.000464975352285566,SLC25A16,solute carrier family 25 member 16,Down
