Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000166206,GABRB3,gamma-aminobutyric acid type A receptor subunit beta3,protein_coding,2313.48807403999,-1.93893116476546,0.499187794189494,-3.88417182337884,0.000102679277730415,0.00217472278646247
ENSG00000166224,SGPL1,sphingosine-1-phosphate lyase 1,protein_coding,534.939632650595,-0.238046425938711,0.276074711126849,-0.862253644917641,0.388547955316401,0.663726520811523
ENSG00000166225,FRS2,fibroblast growth factor receptor substrate 2,protein_coding,250.80786852076,0.320661756322435,0.359676506642191,0.891528221612295,0.372645858251369,0.650304204607889
ENSG00000166226,CCT2,chaperonin containing TCP1 subunit 2,protein_coding,1115.87027455647,0.0132494497142452,0.247197999417487,0.0535985313209129,0.957255026667993,0.983816740054241
ENSG00000166228,PCBD1,pterin-4 alpha-carbinolamine dehydratase 1,protein_coding,97.4883670749791,-0.634715966997834,0.324585877000611,-1.95546390638752,0.0505283395341749,0.198719889801005
ENSG00000166233,ARIH1,ariadne RBR E3 ubiquitin protein ligase 1,protein_coding,1308.71077011312,-0.0874984984822073,0.353834444015388,-0.247286548729558,0.804686468146056,0.92499805201646
ENSG00000166250,CLMP,CXADR like membrane protein,protein_coding,75.2409206145975,-0.724412505890542,1.84937281912913,-0.391707122759416,0.695274626578339,0.867323862418946
ENSG00000166257,SCN3B,sodium voltage-gated channel beta subunit 3,protein_coding,1886.11711041453,-1.40685283112171,0.308935095874343,-4.55387830618614,5.26658297731349e-06,0.00021366038486932
ENSG00000166260,COX11,cytochrome c oxidase copper chaperone COX11,protein_coding,559.996238117536,-0.395825354471456,0.171514498748845,-2.30782445425256,0.021008902216438,0.110522650583846
ENSG00000166261,ZNF202,zinc finger protein 202,protein_coding,26.3722206703332,0.348523162381821,0.820840023727614,0.42459328530193,0.671133188759653,0.855063222857349
ENSG00000166262,FAM227B,family with sequence similarity 227 member B,protein_coding,49.9149740811884,0.501545834397331,0.430388426199596,1.16533299658187,0.243884227586413,0.51933615389505
