Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
SEPTIN5,3,0.00828360086294443,0.180163214061519,4.92696066159954e-05,-1.5376050763271
CACNB4,3,0.00438677734423562,0.226162332545311,0.000788424296037948,-1.76671121389923
REEP5,3,0,0.625,3.60865088110795e-18,-1.05977411575924
ANXA1,3,0.00269618879108937,0.248269896193772,0.0605007279172363,2.18364882874574
NDUFS1,3,0.00087061185505721,0.180503144654088,3.07382705030136e-05,-1.00229311956942
MICU1,3,0.00903898407500536,0.208424110384895,0.000166755738745883,-1.04026891529828
HOMER3,3,0.000361423935862307,0.211808118081181,0.000187463600999315,1.02254427489761
SCN1B,3,0.0385459079511937,0.234477124183007,0.00091239641804286,-1.97615852567129
BCL11A,3,0.00279972637699239,0.217259651778955,0.052264070273525,-1.75694741224285
NTN1,2,0.00468276708964388,0.228867623604466,0.00788321052740333,1.82891435855754
LGALS1,2,0.00468276708964388,0.202255109231853,0.00362952127006106,1.23994422870619
ZC3HAV1,2,0,0.195904436860068,0.00388870890494922,1.35674573126
SOX9,2,0.00347617748149881,0.227056962025316,0.00101287581179369,1.49963342091524
NT5C,2,0.00468276708964388,0.177269919703521,0.00162888068677761,1.77128736099479
GADD45G,2,0.00468276708964388,0.241582491582492,0.0521832009702242,1.80445933043602
LAMC1,2,0.00470732705689726,0.195770804911323,0.00058791045141831,1.97353628139373
SORL1,2,0,0.172683513838749,0.000319891547677236,-1.02278637022971
SNCAIP,2,0.00372672163421242,0.171548117154812,8.96040335370171e-06,1.30641235883286
TRAF4,2,0,0.189313984168865,0.000754735743400112,1.60189840936492
PITPNM3,2,0.00468276708964388,0.187950229207597,0.00058825501924307,-1.3762725257399
GNAO1,2,0,0.196440793976728,0.000108072603182228,-1.19992932667834
CDKN2C,2,0,0.24178601516428,0.0627368248593588,2.18977041449022
TEP1,2,1.63733115022513e-05,1,0,1.11713520173329
LCAT,2,0,0.172579675285628,0.000319788266383336,1.22628863292054
GLRB,2,0.00468276708964388,0.137914464199904,2.75891394748025e-07,-1.39470542396264
KIF3C,2,0,0.156744948115784,3.92886151616714e-06,-1.21553786703724
TCIRG1,2,1.63733115022513e-05,1,0,1.44817882040616
ZFP36L2,2,0,1,0,1.64154432235909
PLOD2,2,0.0409660253786328,0.201121233356692,0.00151407364306282,1.98809113562379
RHOC,2,1.63733115022513e-05,1,0,1.44745192796008
UBE2L6,2,0.00468276708964388,0.19603825136612,0.00363976636195801,1.03733804381156
GABRB1,2,0,0.189064558629776,5.81687723596349e-05,-1.41949050711906
HSPA4L,2,0,0.176289926289926,0.000339607272706569,-1.06187461181859
LDB2,2,0.00468276708964388,0.195238095238095,0.00358593388170314,-2.02163385988012
TBL2,2,0.0276054031927957,0.145611364789447,7.18350260399349e-06,1.05227128104666
SH3PXD2B,2,0,0.228685258964143,0.00849278796378568,1.87558047533421
TUBB6,2,1.63733115022513e-05,1,0,2.80529107604788
BASP1,2,0.00468276708964388,0.182453909726637,0.000115340564893251,-1.34843383526708
MICU3,2,0,0.173309178743961,1.2387095347916e-05,-1.5881213071588
ATP13A2,2,0.00179789356048054,0.171445639187575,1.00276540275317e-05,-1.09322283823377
SHMT2,2,0.00468276708964388,0.177269919703521,0.00162888068677762,1.66173289660651
PDE2A,2,0.00468276708964388,0.199721642310369,0.000176651307393405,-1.75254107060298
EPB41L1,2,0.00468276708964388,0.178371659415786,1.61682094207975e-05,-1.42948502827955
ZFP36L1,2,0,1,0,1.28574457727038
EVC2,2,0.00468276708964388,0.185400516795866,5.32262232716349e-05,2.67708137213061
TSPOAP1,2,0,0.150577124868835,3.89597601121868e-06,-1.18136105493401
KIFAP3,2,0,0.156744948115784,3.92886151616061e-06,-1.04337152574217
CALD1,2,0.0017442618781137,0.222308288148722,0.00155635843787513,1.4691184134328
SV2A,2,0.00280482622848566,0.179937304075235,5.14169914808379e-05,-1.05151004220512
UBQLN1,2,0.00468276708964388,0.188815789473684,5.44273343721347e-05,-1.00812342223734
CAMKK1,2,0,0.221964423820572,0.00167060646549571,-1.29883516842933
SOX6,2,0.00145384017150733,0.204707560627675,0.00364388730548909,1.24120213178756
CDCA7L,2,0.00212005853737339,0.242398648648649,0.0216413835011552,2.06345937334611
NDRG1,2,0,0.25625,0.0728435848226404,1.5287110329332
COX6C,2,0.00728552425841401,0.213859910581222,0.00505348368426151,-1.14518668686849
DPF3,2,0,0.209031318281136,0.052030800416003,1.36853785001415
TNFRSF19,2,6.54932460090053e-05,0.625,0,1.38792592621069
RFK,2,5.73065902578797e-05,0.204707560627675,0.0048698967145211,-1.05676056212131
RIMS2,2,0,0.150577124868835,3.89597601121938e-06,-1.17154524890663
POFUT1,2,0.0230863692181744,0.127725856697819,4.93648238305773e-07,1.26627166569014
APBB1,2,0.00468276708964388,0.197658402203857,0.00481135338258172,-1.02694751140574
KHNYN,2,0,0.195904436860068,0.00388870890494923,1.11972186730098
DMTN,2,1.63733115022513e-05,1,0,-1.70833002310636
DBI,2,0,0.172579675285628,0.000319788266383338,1.2690233825815
CALB1,2,0,0.195770804911323,0.000679751198739867,-4.73475469425426
MYH11,2,0.000226029666881079,0.200279134682484,0.000515134245792685,-2.17575628399849
CDKN2D,2,0,0.209031318281136,0.0210687309757395,-1.35112960943214
SV2B,2,0.00200035085667505,0.173939393939394,4.37269273937055e-05,-1.94335203555834
ARHGEF9,2,0.00933278755628326,0.159710628825821,4.01491343497593e-06,-1.16953671746124
CNTN1,2,1.91021967526265e-05,0.143142144638404,4.95887388246286e-07,-1.86354843165323
LMO3,2,0.00933278755628326,0.241989881956155,0.0521843536680546,-1.8062680652499
XAF1,2,0.00468276708964388,0.241582491582492,0.0521832009702242,1.78209569052816
MAPKAPK2,2,0,1,0,1.05589060622042
ATP2B1,2,0.00468276708964388,0.225274725274725,0.000767240492795851,-2.14258296515698
C4A,2,0.00468276708964388,0.170124481327801,0.000312366950204976,1.68147649307255
DNAJA4,2,0,0.176289926289926,0.000339607272706573,-1.2276767646471
DGKB,2,0,0.179824561403509,8.62819665875895e-05,-2.52010208802123
SHC3,2,0,0.233333333333333,0.0120534142256463,-1.03564409291636
ABCC8,2,0.0042462200648691,0.233143785540211,0.0015740872347222,-1.80239234027316
FGF14,2,0.00971175669279923,0.199167244968772,0.00031761070223407,-1.16798550369275
FOXP1,2,0.00468276708964388,0.241582491582492,0.0210027406015406,-1.72949203406053
RELT,1,0,0.416666666666667,0,1.24950773620874
TNS1,1,0,0.228503184713376,0.00784633363177471,1.49354235692764
DLL3,1,0,0.102098897189612,2.33115145318554e-09,3.43278313317087
STX1B,1,0,0.15041928721174,3.6110423823471e-06,-1.70945210130303
PARD6A,1,0,1,0,-1.32786313217333
SCG3,1,0,1,0,-1.05666979880274
GDAP1,1,0,1,0,-1.40444119615717
CD82,1,0,0.165132336018412,0.000329073469881984,1.34143659017177
PCDHB7,1,0,1,0,1.20482913433685
LTF,1,0,0.172475961538462,0.000297916284411029,4.06500775493476
IGFBP5,1,0,0.197250859106529,0.00363948407835419,2.29967226238731
DUSP4,1,0,0.213066072754269,0.00457930487271294,2.71549035125725
KALRN,1,0,1,0,-1.36897985259767
CHPF,1,0,1,0,1.20718979894522
NR1D1,1,0,1,0,-1.25334342252278
TUBA4A,1,0,0.666666666666667,0,-2.02712178480072
YWHAH,1,0,1,0,-1.45694156287123
TMOD2,1,0,0.666666666666667,0,-1.27332190005207
LIPG,1,0,0.152659574468085,5.92900755913019e-06,1.38025285416255
NUAK1,1,0,0.241176470588235,0.0519390930082387,-1.65137168541283
NLRC5,1,0,0.195770804911323,0.00362273988730332,2.07163063818352
ATP6V0A1,1,0,0.666666666666667,0,-1.00041753799043
TNC,1,0,0.189313984168865,0.000584919739537374,4.73272583346946
CLSTN3,1,0,0.152254641909814,1.56335428754935e-06,-1.53265751840026
CBFA2T3,1,0,0.163439635535308,0.0002452606598159,-1.91381502039307
CTDSP1,1,0,0.177929324240546,0.00221041202632963,1.2953501030999
STAR,1,0,0.224921630094044,0.000763651416051472,-1.70545899920717
BTN3A1,1,0,1,0,1.75160838633095
NPTN,1,0,0.183974358974359,5.24755658381494e-05,-1.40529740554992
MASP1,1,0,0.1454637607704,2.1364399578821e-05,1.71290660483538
MAP1A,1,0,0.188567674113009,5.417272857137e-05,-1.14740044316034
MAPRE2,1,0,0.212121212121212,0.0107869543551011,-1.14411588688604
RND1,1,0,0.571428571428571,8.41446308425022e-19,-1.47318296012426
PMP22,1,0,1,0,1.42389662251136
CTSF,1,0,0.188567674113009,5.41727285713737e-05,-1.45381290537823
F2R,1,0,0.228503184713376,0.0078463336317747,1.99840211316692
PELI3,1,0,1,0,-1.25166536852071
SAMD9L,1,0,0.194708276797829,0.00356908039118228,1.60070180030052
PAXBP1,1,0,0.154967602591793,4.43705520066469e-06,1.22760032748644
INPP5J,1,0,0.152822151224707,5.95700481941898e-06,-1.07836709219714
EIF4EBP1,1,0,1,0,2.72308738457117
CASKIN1,1,0,0.152254641909814,1.56335428754478e-06,-2.0734322157384
DUSP19,1,0,0.213066072754269,0.00457930487271294,-1.18615743387092
CAVIN1,1,0,0.175750153092468,0.000715301277222971,1.88643464122041
ATP2B2,1,0,0.224921630094044,0.000763651416051456,-2.49696235714935
NRP2,1,0,0.571428571428571,5.74448501248442e-18,1.45122643981681
LRRTM3,1,0,0.152254641909814,1.56335428754585e-06,-1.29580499336666
