Symbol,Module,Degree,Log2FC
SCN8A,25,5,-1.49470199406934
CNTNAP1,25,4,-1.37221958609099
KCNAB2,25,4,-1.73601918818388
KCNA2,25,4,-1.90778460617388
CNTNAP2,25,3,-2.07733825446098
SPTBN4,25,3,-1.56853036186838
SCN1B,25,3,-1.97615852567129
CNTN1,25,2,-1.86354843165323
SLC39A1,25,1,1.16102519612076
KCNC4,25,1,-1.60417230268083
SPTB,25,1,-1.84835814855665
TCIRG1,26,2,1.44817882040616
ATP6V0A1,26,1,-1.00041753799043
SNX10,26,1,-1.53949352414277
ZFP36L2,27,2,1.64154432235909
ZFP36L1,27,2,1.28574457727038
MAPKAPK2,27,2,1.05589060622042
RHOC,28,2,1.44745192796008
MYO9B,28,1,1.09613897187248
DIAPH3,28,1,2.55554038257587
BTN3A1,29,1,1.75160838633095
BTN3A2,29,1,2.10399641467506
H4C11,30,18,1.90306299804496
H4C2,30,18,1.25639765572141
H4C8,30,18,1.25567938820148
H4C1,30,17,2.08402418543912
H3C1,30,17,1.31389080252909
H2AC8,30,16,1.36176736647016
H2AC6,30,16,1.3720801593999
H2AX,30,16,1.76789789739345
H2BC4,30,15,1.50217159679261
H2BC7,30,15,2.20032526794694
ACTL6A,30,15,1.72332921392191
H2BC17,30,15,6.33016621254433
H2BC14,30,14,3.03449704085221
H2BC6,30,14,2.17341968533108
H2AC4,30,12,2.84706116241989
H2BC15,30,12,1.38097190308923
H2BC11,30,11,4.01966600556747
H1-2,30,8,1.36571354807783
CBX6,30,1,-1.23970904750446
PLXNA3,31,4,1.12213078401417
RND1,31,1,-1.47318296012426
NRP2,31,1,1.45122643981681
SEMA6B,31,1,-1.19793374599708
SEMA5A,31,1,1.56753768284461
PMP22,32,1,1.42389662251136
RNGTT,32,1,-1.13768302627289
PELI3,33,1,-1.25166536852071
IRAK1,33,1,1.28999285876062
EIF4EBP1,34,1,2.72308738457117
EIF4E3,34,1,-1.31291399714216
OPN3,35,1,-1.45719686442446
KMO,35,1,-1.90142431557394
TSPYL1,36,1,-1.44796787700333
TSPYL2,36,1,-1.31252577492074
OAT,37,1,-1.09394689324178
PYCR1,37,1,1.24475143934867
NAP1L3,38,1,-1.6853351727164
NAP1L2,38,1,-1.30921395192405
FNDC5,39,1,-1.16716946906824
METRN,39,1,1.1207895793076
