stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000310219,9606.ENSP00000378324,HSPA6,DNAJA4,9606,0.888,0.041,0,0.404,0.29,0.464,0.162,0.502
9606.ENSP00000310219,9606.ENSP00000394560,HSPA6,MAPK9,9606,0.906,0,0,0,0.06,0,0.9,0.082
9606.ENSP00000310832,9606.ENSP00000411256,CTSF,GABARAPL1,9606,0.706,0,0,0,0.1,0,0,0.687
9606.ENSP00000313950,9606.ENSP00000402084,AURKB,WEE1,9606,0.758,0,0,0,0.149,0.071,0,0.718
9606.ENSP00000313950,9606.ENSP00000345708,AURKB,KCNJ11,9606,0.76,0,0,0,0,0,0,0.76
9606.ENSP00000313950,9606.ENSP00000478887,AURKB,MYC,9606,0.761,0,0,0,0.112,0.128,0,0.716
9606.ENSP00000313950,9606.ENSP00000468425,AURKB,TK1,9606,0.767,0,0,0,0.503,0,0,0.55
9606.ENSP00000313950,9606.ENSP00000480826,AURKB,H3C1,9606,0.821,0,0,0,0.108,0.792,0,0.116
9606.ENSP00000313950,9606.ENSP00000377793,AURKB,PRC1,9606,0.85,0,0,0,0.576,0.317,0,0.523
9606.ENSP00000313950,9606.ENSP00000442068,AURKB,CDCA3,9606,0.933,0,0,0,0.835,0,0,0.612
9606.ENSP00000313950,9606.ENSP00000325290,AURKB,HASPIN,9606,0.956,0,0,0,0.386,0.292,0,0.908
9606.ENSP00000316377,9606.ENSP00000385142,DLGAP1,NRXN1,9606,0.774,0,0,0,0.192,0.1,0.5,0.452
9606.ENSP00000316377,9606.ENSP00000439937,DLGAP1,HOMER3,9606,0.943,0,0,0,0.055,0.091,0.5,0.883
9606.ENSP00000316377,9606.ENSP00000334382,DLGAP1,HOMER1,9606,0.986,0,0,0,0.067,0.099,0.5,0.972
9606.ENSP00000317232,9606.ENSP00000434412,FKBP10,SERPINH1,9606,0.947,0,0,0,0.412,0,0,0.914
