Symbol,pooled_log2FC
CALM1,-1.16282632105645
NEK6,1.59122678967914
HEY2,1.36127401891812
TK1,2.37276145568867
FRA10AC1,-1.22900728046884
CAMK2N1,-1.41854137388642
FAM162B,-2.38106532689472
FZD7,1.76702969548323
CCDC9B,1.74907152409741
KIAA0825,-1.23048541204351
CDCA7L,2.06345937334611
ZC3HAV1,1.35674573126
SEZ6L2,-1.80370223582665
PLCL2,-1.32135052189742
CCDC184,-1.61873476436223
STAR,-1.70545899920717
CHST14,1.57487810015213
SLC25A23,-1.20055049319393
NECAB2,-2.27697004200072
MYPOP,-1.50072656689411
ANP32B,1.16951638750894
APBB1,-1.02694751140574
FLRT2,-1.58120213201029
NPAS3,1.29768346466034
TMEM240,-1.20609450282671
GPR162,-1.57401258304683
C6orf132,-2.60842543437568
CTSF,-1.45381290537823
DHRS3,1.63687159185973
LPP,1.33385000223055
AURKB,2.45839171160792
SNORA47,1.55970129841835
KHNYN,1.11972186730098
TMED1,1.07389091636333
C1orf216,-1.07563697929145
CDK4,1.80556435190259
TRIP13,1.72452623497612
KCNAB2,-1.73601918818388
PTBP1,1.38384900162766
EPB41L1,-1.42948502827955
PLK2,-1.37140421973984
CYTOR,1.38949769633369
TRIM36,-1.10419303374432
NSG1,-1.38504647133575
KIRREL1,1.89668851929048
CFAP263,-1.02914955810914
SLC39A1,1.16102519612076
FSD1,-1.07358323884409
H4C8,1.25567938820148
DGKB,-2.52010208802123
NIBAN2,1.45622291348488
PNCK,-1.55072434525567
PPP1R18,1.5408727378621
TMEM130,-1.57389950590726
PELI3,-1.25166536852071
IGFBP3,1.94521253107888
WDR37,-1.0520249759
BTN3A2,2.10399641467506
NUAK1,-1.65137168541283
EMB,-1.83159652127238
PXDN,1.98665158412826
CACNB1,-1.08748677822099
XAF1,1.78209569052816
EMP3,2.60498548946967
HAUS8,1.51587321655617
MYC,2.3321940013985
LINC00887,-1.41614257711776
TGFB1I1,1.75064305373754
DENND2A,1.4584641232728
ATP2B2,-2.49696235714935
ZNF483,-1.12610187716811
OTUD7A,-1.00979864472466
MXRA8,2.03418156437781
NDUFB8,-1.03295110061824
H2AC6,1.3720801593999
CBFA2T3,-1.91381502039307
CIITA,1.57431850661004
SPATA13,1.39334466074632
SLC43A2,-1.58879021929578
