Gene_ID,n_datasets
ENSG00000114315,1
ENSG00000114423,1
ENSG00000114450,1
ENSG00000114480,1
ENSG00000114573,1
ENSG00000114626,1
ENSG00000114757,1
ENSG00000114796,1
ENSG00000114812,1
ENSG00000114861,1
ENSG00000114993,1
ENSG00000115129,1
ENSG00000115155,1
ENSG00000115183,1
ENSG00000115194,1
ENSG00000115239,1
ENSG00000115310,1
ENSG00000115414,1
ENSG00000115457,1
ENSG00000115461,1
ENSG00000115648,1
ENSG00000115756,1
ENSG00000115761,1
ENSG00000115825,1
ENSG00000115935,1
ENSG00000115963,1
ENSG00000115977,1
ENSG00000116161,1
ENSG00000116212,1
ENSG00000116254,1
ENSG00000116329,1
ENSG00000116396,1
ENSG00000116473,1
ENSG00000116544,1
ENSG00000116574,1
ENSG00000116663,1
ENSG00000116675,1
ENSG00000116679,1
ENSG00000116688,1
ENSG00000116717,1
ENSG00000116729,1
ENSG00000116745,1
ENSG00000116774,1
ENSG00000116815,1
ENSG00000116833,1
ENSG00000116962,1
ENSG00000116983,1
ENSG00000116985,1
ENSG00000116991,1
ENSG00000117020,1
ENSG00000117228,1
ENSG00000117266,1
ENSG00000117318,1
ENSG00000117399,1
ENSG00000117411,1
ENSG00000117724,1
ENSG00000118156,1
ENSG00000118276,1
ENSG00000118292,1
ENSG00000118322,1
ENSG00000118363,1
ENSG00000118402,1
ENSG00000118432,1
ENSG00000118473,1
ENSG00000118503,1
ENSG00000118515,1
ENSG00000118690,1
ENSG00000118705,1
ENSG00000118707,1
ENSG00000119125,1
ENSG00000119231,1
ENSG00000119280,1
ENSG00000119392,1
ENSG00000119403,1
ENSG00000119421,1
ENSG00000119699,1
ENSG00000119771,1
ENSG00000119782,1
ENSG00000119801,1
ENSG00000119865,1
ENSG00000119866,1
ENSG00000119878,1
ENSG00000119888,1
ENSG00000119986,1
ENSG00000120053,1
ENSG00000120159,1
ENSG00000120251,1
ENSG00000120265,1
ENSG00000120322,1
ENSG00000120458,1
ENSG00000120526,1
ENSG00000120645,1
ENSG00000120690,1
ENSG00000120708,1
ENSG00000120820,1
ENSG00000120875,1
ENSG00000120907,1
ENSG00000121005,1
ENSG00000121060,1
ENSG00000121068,1
ENSG00000121152,1
ENSG00000121351,1
ENSG00000121621,1
ENSG00000121690,1
ENSG00000121871,1
ENSG00000121905,1
ENSG00000121957,1
ENSG00000121966,1
ENSG00000122490,1
ENSG00000122642,1
ENSG00000122643,1
ENSG00000122694,1
ENSG00000122779,1
ENSG00000122786,1
ENSG00000122873,1
ENSG00000122952,1
ENSG00000123080,1
ENSG00000123091,1
ENSG00000123119,1
ENSG00000123131,1
ENSG00000123136,1
ENSG00000123146,1
ENSG00000123219,1
ENSG00000123342,1
ENSG00000123360,1
ENSG00000123374,1
ENSG00000123427,1
ENSG00000123485,1
ENSG00000123570,1
ENSG00000123610,1
ENSG00000123975,1
ENSG00000123989,1
ENSG00000124067,1
ENSG00000124126,1
ENSG00000124134,1
ENSG00000124140,1
ENSG00000124191,1
ENSG00000124313,1
ENSG00000124507,1
ENSG00000124575,1
ENSG00000124588,1
ENSG00000124613,1
ENSG00000124635,1
ENSG00000124702,1
ENSG00000124749,1
ENSG00000124766,1
ENSG00000124782,1
ENSG00000124783,1
ENSG00000124785,1
ENSG00000125148,1
ENSG00000125246,1
ENSG00000125347,1
ENSG00000125351,1
ENSG00000125355,1
ENSG00000125356,1
ENSG00000125388,1
ENSG00000125458,1
ENSG00000125648,1
ENSG00000125744,1
ENSG00000125820,1
ENSG00000125841,1
ENSG00000125844,1
ENSG00000125845,1
ENSG00000125885,1
ENSG00000125895,1
ENSG00000126368,1
ENSG00000126391,1
ENSG00000126709,1
ENSG00000126733,1
ENSG00000126787,1
ENSG00000126860,1
ENSG00000126950,1
ENSG00000127022,1
ENSG00000127220,1
ENSG00000127241,1
ENSG00000127445,1
ENSG00000127586,1
ENSG00000127824,1
ENSG00000127946,1
ENSG00000127954,1
ENSG00000128245,1
ENSG00000128283,1
ENSG00000128394,1
ENSG00000128513,1
ENSG00000128567,1
ENSG00000128594,1
ENSG00000128595,1
ENSG00000128602,1
ENSG00000128655,1
ENSG00000128656,1
ENSG00000128683,1
ENSG00000128872,1
ENSG00000128881,1
ENSG00000128965,1
ENSG00000129038,1
ENSG00000129159,1
ENSG00000129167,1
ENSG00000129295,1
ENSG00000129355,1
ENSG00000129473,1
ENSG00000129493,1
ENSG00000129521,1
ENSG00000129534,1
ENSG00000129538,1
ENSG00000129566,1
ENSG00000129625,1
ENSG00000129675,1
ENSG00000129682,1
ENSG00000129990,1
ENSG00000129993,1
ENSG00000130052,1
ENSG00000130147,1
ENSG00000130202,1
ENSG00000130208,1
ENSG00000130222,1
ENSG00000130300,1
ENSG00000130303,1
ENSG00000130368,1
ENSG00000130508,1
ENSG00000130511,1
ENSG00000130540,1
ENSG00000130558,1
ENSG00000130643,1
ENSG00000130649,1
ENSG00000130707,1
ENSG00000130822,1
ENSG00000130827,1
ENSG00000130956,1
ENSG00000130958,1
ENSG00000130997,1
ENSG00000131080,1
ENSG00000131089,1
ENSG00000131351,1
ENSG00000131378,1
ENSG00000131398,1
ENSG00000131437,1
ENSG00000131725,1
ENSG00000131747,1
ENSG00000131759,1
ENSG00000132199,1
ENSG00000132294,1
ENSG00000132359,1
ENSG00000132432,1
ENSG00000132478,1
ENSG00000132535,1
ENSG00000132561,1
ENSG00000132563,1
ENSG00000132639,1
ENSG00000132646,1
ENSG00000132670,1
ENSG00000132688,1
ENSG00000132692,1
ENSG00000132780,1
ENSG00000132842,1
ENSG00000132846,1
ENSG00000132879,1
ENSG00000132938,1
ENSG00000133026,1
ENSG00000133056,1
ENSG00000133134,1
ENSG00000133138,1
ENSG00000133318,1
ENSG00000133639,1
ENSG00000133739,1
ENSG00000133794,1
ENSG00000133805,1
ENSG00000133816,1
ENSG00000133874,1
ENSG00000133985,1
ENSG00000134121,1
ENSG00000134287,1
ENSG00000134343,1
ENSG00000134376,1
ENSG00000134504,1
ENSG00000134533,1
ENSG00000134539,1
ENSG00000134690,1
ENSG00000134802,1
ENSG00000134851,1
ENSG00000134853,1
ENSG00000134871,1
ENSG00000134873,1
ENSG00000134909,1
