GeneID,SRR11862834,SRR11862839,SRR11862840,SRR11862841,SRR11862842,SRR11862846,SRR11862849,SRR11862850,SRR11862853,SRR11862855
ENSG00000011478.13,66.265,56.47,99.266,34.986,461.323,1044.241,70.414,86.795,2306.574,252.9
ENSG00000011485.16,116,220,311,137,411,4917.101,174,196,3851,290
ENSG00000011523.16,61.174,747.689,170.539,525.872,461.671,1959.347,194.169,122.558,840.812,242.849
ENSG00000011566.16,21,624,225,827,568,1267,120,72,1338,185
ENSG00000011590.15,0,0,0,0,0,0,0,0,1,1
ENSG00000011600.13,431,426,126,4537.999,704,9012.001,150,809,2456,741
ENSG00000011638.12,3,67.02,132.787,88.872,59.001,335.232,2,4,260.73,19.004
ENSG00000011677.14,1,552,2,84,0,58,49,5,0,26
ENSG00000012048.27,48.003,41.503,24,177.14,115.116,256.627,9.242,50,144.079,75.075
ENSG00000012061.18,30,122.185,98,101.393,322,1226.165,87.918,74,905.926,143.963
ENSG00000012124.18,0,63.951,0,131,6,251.231,56,1,4,38
ENSG00000012171.21,22,45,46,92,149,1532.999,170,27,126,287
ENSG00000012174.13,17,181,168,265,237,661.836,56,63,488.582,165
ENSG00000012211.14,6,2,14,5,22,137.999,1,0,42,12
ENSG00000012223.14,5,1,84,190,16954,9121,1,4,5,17
ENSG00000012232.11,35.804,175.554,62.766,163.997,235.451,1248.055,66.409,74.57,432.981,132.619
ENSG00000012504.16,0,0,1,0,3,5,1,0,90,3
ENSG00000012660.15,109,916.133,358,3244.331,358.669,4756.3,231,195,4405.085,406
ENSG00000012779.13,0,0,0,1.016,0,3.059,0,0,0,0
ENSG00000012817.17,0,640,975,913,1438.178,2611,155,113,1581,235
ENSG00000012822.17,164,386,629.999,280,2496.999,2833.001,434,327,1572.985,1235
ENSG00000012963.16,157,546,476,568,400,3756,123,295,3487,311
ENSG00000012983.13,48,396,278,2266,612,1553,80,68,1097,96
ENSG00000013016.17,13,326,27,68,99,465,160,49,102,68
ENSG00000013275.9,168,389,569,621,918,4945,178,336,2654.001,470
ENSG00000013288.10,76,163.648,133,88,268,2427.977,175,215,1862.028,194.019
ENSG00000013293.6,2.58,71.884,0,110.553,4.937,116.673,12.098,0,9.758,13.466
ENSG00000013297.13,153,179,16.012,2162.979,63,5973.153,357,61,3,542
ENSG00000013306.17,85,50.3,49.794,89.549,309.929,2114.973,88,190,831.714,372
ENSG00000013364.20,46,12.009,107,55,652,1741.448,17,50.125,358.729,100
ENSG00000013374.18,204,333,527,505.001,1632.999,2900,161,173,3383.985,610.141
ENSG00000013375.18,2,18.864,0,44.845,35.857,83.018,2.929,7,145.727,15.934
ENSG00000013392.9,34.999,355.682,152,262.032,162.281,717.416,86.924,57,374.943,131.884
ENSG00000013441.18,64,1191,703,3883,1339.97,4272.747,189,188,3424.999,206
ENSG00000013503.11,12,63,13,113,51,419,21,12,82,40
ENSG00000013523.13,31,242.005,108.116,253.903,563.682,1163.432,83,61,671.934,169.03
ENSG00000013561.19,32.003,353.771,157.748,607.351,225.406,1024.564,58.108,25,350.424,95.543
ENSG00000013563.15,32,73.229,45,123.046,228.915,591.351,36.973,33,319.198,112
ENSG00000013573.18,9.738,5.758,95.972,1.646,23.585,358.82,3.771,8.348,67.906,9.49
ENSG00000013583.11,49,141,217,300,349,1254,83,16,794,127
ENSG00000013588.11,6.001,96.022,203.39,195.87,236.415,443.837,15.869,18.878,4516.957,90.589
ENSG00000013619.16,10,47,47,12,21,221,21,17,58,10
ENSG00000013725.15,2,0,0,1,1,20,0,0,1,3
ENSG00000013810.22,61,26.188,34.022,50.359,88.956,1339.167,11.33,244,428.019,302.072
ENSG00000014123.11,64,655,211,2214,428,2024,83,129,1633,189
ENSG00000014138.11,27,78.926,38.767,109.159,73.842,352.783,27.444,88.353,453.445,124.983
ENSG00000014164.8,47,26,18,9,107,486,7,8,207,152
ENSG00000014216.17,39,91,87,80,216,1124,79.001,67,513,128
ENSG00000014257.17,2,8,0,128,27,35,0,0,1,5
ENSG00000014641.22,198,9106.024,871,3562,432,7401.094,1637,552,5941.703,351.99
ENSG00000014824.15,55,1412,206,1275,468,3134,214,149,1602.003,347
ENSG00000014914.22,14,27,163.001,65,249.999,472,10,38,825,59
ENSG00000014919.14,44,342.071,262.471,410.527,152.915,1242.539,98.161,104,1460.2,247
ENSG00000015133.20,11,18,19,7,85,197,17,12,148,73
ENSG00000015153.16,7,124.01,14,55.299,77.192,313.5,17,16,117.004,27
ENSG00000015171.22,167,2600.945,415,2756.96,620.132,3712.854,433,298,775.546,517.282
ENSG00000015285.13,53,29,30,142,141.993,595.008,27,41,153.006,94
ENSG00000015413.11,0,0,0,0,0,0,0,0,0,0
ENSG00000015475.20,26.996,25.161,25,24.444,44.059,909.731,30.75,17.374,97.827,45.318
ENSG00000015479.21,314,3691.383,896.056,4005.33,758.047,10267.29,697,614.066,1819.667,955.025
ENSG00000015520.16,0,0,0,0,22,0,0,0,16,0
